time,tcc_mean,tcc_median,tcc_max,tcc_p75
2015-08-04-22,0.8681867122650146,0.945616602897644,0.9995259046554565,0.989989161491394
2015-08-04-23,0.914638102054596,0.9781477451324463,0.9999983310699463,0.9999983310699463
2015-08-05-00,0.9116601943969727,0.9728021025657654,1.0000009536743164,0.9964990019798279
2015-08-05-01,0.9428536891937256,0.9717844128608704,0.996019184589386,0.9930360913276672
2015-08-05-02,0.9545010328292847,0.981012761592865,0.9993919730186462,0.9830536246299744
2015-08-05-03,0.977497935295105,0.9830682873725891,0.9999998211860657,0.9999998211860657
2015-08-05-04,0.9539669752120972,0.9845002889633179,0.9999994039535522,0.9880746603012085
2015-08-05-05,0.9531948566436768,0.9970434904098511,1.000003695487976,1.000003695487976
2015-08-05-06,0.9671679735183716,0.9868653416633606,0.9999993443489075,0.9930375218391418
2015-08-05-07,0.9803600311279297,0.9904685616493225,0.996953547000885,0.9917750954627991
2015-08-05-08,0.9951934814453125,1.0,1.0,1.0
2015-08-05-09,0.9902008771896362,0.9930358529090881,0.9999995827674866,0.9982152581214905
2015-08-05-10,0.9899959564208984,0.9911947250366211,1.0,0.9958357810974121
2015-08-05-11,0.9836956858634949,0.9899899363517761,0.9999997019767761,0.9974562525749207
2015-08-05-12,0.9894518256187439,0.9960401654243469,0.9999998211860657,0.9999998211860657
2015-08-05-13,0.9818853735923767,0.9827142357826233,0.9999995827674866,0.9913678765296936
2015-08-05-14,0.9912978410720825,0.9958357214927673,1.0000004768371582,1.0000004768371582
2015-08-05-15,0.9940205812454224,0.9975076913833618,1.0000001192092896,1.0000001192092896
2015-08-05-16,0.9887766242027283,0.9918754696846008,0.9999998211860657,0.994462788105011
2015-08-05-17,0.9794204235076904,0.9822373986244202,0.9999995827674866,0.9930139183998108
2015-08-05-18,0.9799059629440308,0.9878864288330078,1.0,0.9972057342529297
2015-08-05-19,0.9729945659637451,0.9723864197731018,0.9948349595069885,0.9858389496803284
2015-08-05-20,0.9576466679573059,0.9770863652229309,0.9972050786018372,0.9827130436897278
2015-08-05-21,0.9383290410041809,0.9611714482307434,0.9999974370002747,0.9857762455940247
2015-08-05-22,0.8525740504264832,0.8889323472976685,0.9748469591140747,0.9439173936843872
2015-08-05-23,0.7635981440544128,0.8762809038162231,0.9440757036209106,0.9143058061599731
2015-08-06-00,0.6546198725700378,0.767756998538971,0.9387012124061584,0.872645914554596
2015-08-06-01,0.6751341223716736,0.8253670930862427,0.9864236116409302,0.8958321809768677
2015-08-06-02,0.6858736872673035,0.7381027936935425,1.0000046491622925,0.9411972761154175
2015-08-06-03,0.6519630551338196,0.8092982172966003,1.0000025033950806,0.9844996333122253
2015-08-06-04,0.6134791970252991,0.6838374733924866,0.9999995827674866,0.9693294167518616
2015-08-06-05,0.5817930102348328,0.5718069672584534,0.9972067475318909,0.9291525483131409
2015-08-06-06,0.5270687937736511,0.4954644441604614,0.9649163484573364,0.7809563875198364
2015-08-06-07,0.5377448797225952,0.5309852361679077,0.9537605047225952,0.7484534978866577
2015-08-06-08,0.5266310572624207,0.4535176753997803,0.9337575435638428,0.5505330562591553
2015-08-06-09,0.5627907514572144,0.5116246342658997,0.7452977299690247,0.6424382328987122
2015-08-06-10,0.7082583904266357,0.7132242321968079,0.9810312390327454,0.9472635388374329
2015-08-06-11,0.7453482151031494,0.6556603908538818,0.9999978542327881,0.9948327541351318
2015-08-06-12,0.6725962162017822,0.5184231400489807,1.0000057220458984,0.9981136918067932
2015-08-06-13,0.644826352596283,0.5953387022018433,1.0000017881393433,0.9943560361862183
2015-08-06-14,0.6125354170799255,0.4704964756965637,1.000006914138794,0.9792855381965637
2015-08-06-15,0.6372792720794678,0.5333296060562134,1.0000044107437134,0.9905897378921509
2015-08-06-16,0.6405799984931946,0.510795533657074,0.996238648891449,0.980583131313324
2015-08-06-17,0.6696193814277649,0.6349734663963318,0.9905795454978943,0.9406833052635193
2015-08-06-18,0.6389959454536438,0.4843617081642151,0.9859181046485901,0.8754749894142151
2015-08-06-19,0.6053585410118103,0.5579901933670044,0.9247809648513794,0.7633277177810669
2015-08-06-20,0.5976402759552002,0.6556609869003296,0.8893188238143921,0.7813934087753296
2015-08-06-21,0.5440242290496826,0.5541959404945374,0.7813306450843811,0.6144452691078186
2015-08-06-22,0.2946763038635254,0.3147941529750824,0.5647026300430298,0.4636436402797699
2015-08-06-23,0.3068733811378479,0.4239998161792755,0.5322304368019104,0.5179024338722229
2015-08-07-00,0.2623477578163147,0.36456298828125,0.5145416259765625,0.39569091796875
2015-08-07-01,0.2805177867412567,0.3103199005126953,0.7226734161376953,0.3709278106689453
2015-08-07-02,0.35419559478759766,0.29524749517440796,0.9073233008384705,0.44316619634628296
2015-08-07-03,0.31875622272491455,0.28883880376815796,0.8102163672447205,0.43466705083847046
2015-08-07-04,0.2650640606880188,0.2019960880279541,0.5772249698638916,0.5525362491607666
2015-08-07-05,0.2611224353313446,0.1414037048816681,0.6083989143371582,0.4794164001941681
2015-08-07-06,0.18161696195602417,0.08570022135972977,0.5146552920341492,0.33544081449508667
2015-08-07-07,0.1399959921836853,0.02951812744140625,0.40512847900390625,0.285888671875
2015-08-07-08,0.14551688730716705,0.10846007615327835,0.34843504428863525,0.25097715854644775
2015-08-07-09,0.10631243139505386,0.07557869702577591,0.3762683868408203,0.1678638458251953
