mean,median,max,time
84.87,81.63,239.45,2013-11-29 09:00:00
37.35,22.87,202.19,2013-11-29 12:00:00
18.13,17.12,47.3,2013-11-29 15:00:00
34.61,29.94,140.01,2013-11-30 09:00:00
32.68,30.1,122.64,2013-11-30 15:00:00
34.7,28.46,230.78,2013-12-01 06:00:00
38.72,23.74,205.43,2013-12-01 09:00:00
59.18,58.39,239.45,2013-12-03 09:00:00
89.91,88.04,192.7,2013-12-03 12:00:00
40.23,39.57,117.16,2013-12-03 15:00:00
36.26,26.98,179.16,2013-12-05 09:00:00
64.13,62.75,245.08,2013-12-08 03:00:00
72.34,61.75,249.07,2013-12-08 06:00:00
29.41,30.19,64.32,2013-12-08 15:00:00
29.52,26.25,91.93,2013-12-09 12:00:00
24.72,23.47,62.07,2013-12-09 15:00:00
30.17,22.55,99.24,2013-12-14 12:00:00
67.09,57.11,246.56,2013-12-14 15:00:00
36.43,29.65,134.54,2013-12-16 12:00:00
22.59,18.62,96.9,2013-12-16 15:00:00
21.98,22.67,36.78,2013-12-17 03:00:00
14.14,15.29,26.07,2013-12-18 03:00:00
14.88,16.75,30.78,2013-12-18 15:00:00
15.12,15.59,29.45,2013-12-19 06:00:00
29.36,25.04,219.33,2013-12-20 09:00:00
16.2,16.57,74.53,2013-12-21 09:00:00
15.23,17.42,29.96,2013-12-21 12:00:00
16.95,18.69,37.83,2013-12-21 15:00:00
16.04,16.47,31.73,2013-12-22 09:00:00
16.1,17.21,32.38,2013-12-22 15:00:00
16.46,16.49,248.96,2013-12-23 15:00:00
16.2,15.77,248.27,2013-12-24 15:00:00
82.83,79.21,248.96,2013-12-25 09:00:00
84.68,65.47,248.5,2013-12-25 12:00:00
113.52,105.31,248.84,2013-12-25 15:00:00
47.45,38.58,223.31,2013-12-26 09:00:00
32.95,24.76,158.47,2013-12-26 12:00:00
31.02,18.15,217.89,2013-12-31 09:00:00
28.52,21.23,206.09,2014-01-01 06:00:00
75.32,68.36,211.63,2014-01-01 09:00:00
95.15,92.61,229.28,2014-01-01 12:00:00
20.71,18.83,82.8,2014-01-01 15:00:00
37.32,30.3,239.45,2014-01-02 06:00:00
47.68,47.68,121.38,2014-01-02 09:00:00
52.93,48.07,176.15,2014-01-02 12:00:00
38.25,36.31,95.81,2014-01-02 15:00:00
36.57,28.34,225.68,2014-01-03 06:00:00
52.5,46.89,220.32,2014-01-03 09:00:00
25.59,20.97,145.97,2014-01-03 12:00:00
36.93,26.82,190.3,2014-01-03 15:00:00
34.43,27.53,196.45,2014-01-04 09:00:00
30.79,20.13,116.68,2014-01-04 12:00:00
44.08,32.37,246.91,2014-01-07 15:00:00
17.06,17.64,242.4,2014-01-08 03:00:00
16.62,18.4,27.97,2014-01-09 03:00:00
19.25,20.48,49.06,2014-01-09 06:00:00
36.17,35.88,108.87,2014-01-09 09:00:00
23.78,20.01,73.97,2014-01-09 12:00:00
17.38,16.77,246.79,2014-01-10 06:00:00
16.55,17.19,61.99,2014-01-10 09:00:00
24.57,19.92,134.99,2014-01-10 15:00:00
17.91,15.92,249.07,2014-01-11 06:00:00
17.93,15.7,248.27,2014-01-12 06:00:00
49.53,29.64,249.07,2014-01-12 09:00:00
47.63,40.72,205.15,2014-01-12 12:00:00
22.23,18.0,194.82,2014-01-13 06:00:00
40.31,27.23,249.07,2014-01-13 09:00:00
