segment,mean,median,max
2017-12-23-9,57.49,41.56,248.62
2017-12-23-12,31.44,17.84,215.72
2017-12-24-9,55.76,27.8,249.07
2017-12-24-12,82.43,80.86,246.34
2017-12-24-15,45.95,33.3,241.21
2017-12-25-9,32.09,21.46,180.49
2017-12-25-15,31.22,20.41,237.93
2017-12-26-9,26.94,23.71,127.11
2017-12-28-3,18.23,20.77,28.65
2017-12-28-6,19.78,22.67,213.28
2017-12-28-9,24.41,25.61,55.05
2017-12-29-6,18.31,15.84,248.39
2017-12-30-6,21.3,19.64,249.07
2017-12-30-9,19.61,18.77,217.92
2017-12-30-12,19.25,15.3,183.54
2017-12-31-15,18.22,18.33,42.84
