segment,mean,median,max
2015-01-19-1,0.00,0.00,0.00
2015-01-19-2,0.00,0.00,0.00
2015-01-19-3,0.00,0.00,0.00
2015-01-19-4,2.24,2.99,11.03
2015-01-19-5,3.22,3.29,11.62
2015-01-19-6,3.62,3.88,9.54
2015-01-19-7,4.89,5.07,19.23
2015-01-19-8,3.66,4.16,7.44
2015-01-19-9,4.54,4.77,17.02
2015-01-19-10,10.19,9.82,27.05
2015-01-19-11,13.20,12.48,36.83
2015-01-19-12,14.12,13.08,31.12
2015-01-19-13,8.96,7.14,29.03
2015-01-19-14,8.30,7.40,23.26
2015-01-19-15,12.60,12.12,31.82
2015-01-19-16,9.43,9.03,20.49
2015-01-19-17,18.57,19.20,40.46
2015-01-19-18,0.00,0.00,0.00
2015-01-19-19,0.00,0.00,0.00
2015-01-19-20,0.00,0.00,0.00
2015-01-19-21,0.00,0.00,0.00
2015-01-19-22,0.00,0.00,0.00
2015-01-19-23,0.00,0.00,0.00
2015-01-20-0,0.00,0.00,0.00
2015-01-20-1,0.00,0.00,0.00
2015-01-20-2,15.45,17.74,35.00
2015-01-20-3,9.08,8.93,24.80
2015-01-20-4,7.22,5.65,28.15
2015-01-20-5,6.33,5.04,26.10
2015-01-20-6,5.86,4.76,21.05
2015-01-20-7,7.57,5.66,103.49
2015-01-20-8,23.13,11.97,211.34
2015-01-20-9,35.63,17.48,203.38
2015-01-20-10,55.58,57.85,221.34
2015-01-20-11,33.67,20.72,127.06
2015-01-20-12,12.03,6.84,69.42
2015-01-20-13,8.35,5.06,61.91
2015-01-20-14,7.87,4.46,47.46
2015-01-20-15,7.03,4.16,35.53
2015-01-20-16,6.95,4.47,38.31
2015-01-20-17,25.41,22.42,123.07
2015-01-20-18,0.00,0.00,0.00
2015-01-20-19,0.00,0.00,0.00
2015-01-20-20,0.00,0.00,0.00
2015-01-20-21,0.00,0.00,0.00
2015-01-20-22,0.00,0.00,0.00
2015-01-20-23,0.00,0.00,0.00
2015-01-21-0,0.00,0.00,0.00
2015-01-21-1,0.00,0.00,0.00
2015-01-21-2,12.81,14.14,32.36
2015-01-21-3,6.52,6.56,23.13
2015-01-21-4,4.29,4.47,21.77
2015-01-21-5,3.33,3.29,21.18
2015-01-21-6,2.95,2.99,20.89
2015-01-21-7,3.00,2.98,13.14
2015-01-21-8,4.12,3.88,17.88
2015-01-21-9,7.51,7.15,25.88
2015-01-21-10,18.64,19.61,96.16
2015-01-21-11,23.92,22.26,65.18
2015-01-21-12,20.80,17.51,61.70
2015-01-21-13,43.31,35.96,215.31
2015-01-21-14,99.00,90.19,248.27
2015-01-21-15,83.15,83.45,151.64
2015-01-21-16,62.14,55.64,138.76
2015-01-21-17,14.57,13.78,36.86
2015-01-21-18,0.00,0.00,0.00
2015-01-21-19,0.00,0.00,0.00
2015-01-21-20,0.00,0.00,0.00
2015-01-21-21,0.00,0.00,0.00
2015-01-21-22,0.00,0.00,0.00
2015-01-21-23,0.00,0.00,0.00
2015-01-22-0,0.00,0.00,0.00
