segment,mean,median,max
2020-03-26-3,4.99,0.00,105.62
2020-03-26-6,4.14,4.28,16.17
2020-03-26-9,5.43,5.39,17.48
2020-03-26-12,13.37,12.13,51.28
2020-03-26-15,0.00,0.00,0.00
2020-03-26-18,0.00,0.00,0.00
2020-03-26-21,0.00,0.00,0.00
2020-03-27-0,0.00,0.00,0.00
2020-03-27-3,4.71,0.00,224.48
2020-03-27-6,4.00,2.50,205.69
2020-03-27-9,12.66,9.44,65.41
2020-03-27-12,11.45,5.73,138.16
2020-03-27-15,0.00,0.00,0.00
2020-03-27-18,0.00,0.00,0.00
2020-03-27-21,0.00,0.00,0.00
2020-03-28-0,0.00,0.00,0.00
2020-03-28-3,4.04,0.00,208.63
2020-03-28-6,6.96,4.92,126.70
2020-03-28-9,38.97,33.90,215.12
2020-03-28-12,12.08,9.33,79.62
2020-03-28-15,0.00,0.00,0.00
2020-03-28-18,0.00,0.00,0.00
2020-03-28-21,0.00,0.00,0.00
2020-03-29-0,0.00,0.00,0.00
2020-03-29-3,2.89,0.00,224.06
2020-03-29-6,21.48,13.21,246.68
2020-03-29-9,22.34,7.74,206.25
2020-03-29-12,49.34,52.05,198.22
2020-03-29-15,0.00,0.00,0.00
2020-03-29-18,0.00,0.00,0.00
2020-03-29-21,0.00,0.00,0.00
2020-03-30-0,0.00,0.00,0.00
2020-03-30-3,2.99,0.00,224.48
2020-03-30-6,18.45,14.58,224.48
2020-03-30-9,53.81,50.71,248.05
2020-03-30-12,27.65,21.16,136.08
2020-03-30-15,0.00,0.00,0.00
2020-03-30-18,0.00,0.00,0.00
2020-03-30-21,0.00,0.00,0.00
2020-03-31-0,0.00,0.00,0.00
2020-03-31-3,2.40,0.00,223.89
2020-03-31-6,33.48,29.89,224.36
2020-03-31-9,27.30,13.23,248.73
2020-03-31-12,68.19,67.67,234.04
2020-03-31-15,0.00,0.00,0.00
2020-03-31-18,0.00,0.00,0.00
2020-03-31-21,0.00,0.00,0.00
2020-04-01-0,0.00,0.00,0.00
